Device ID,Battery Capacity (mAh),Battery State (%),ML Model,Connectivity (Mbps),Memory (MB),Dataset Size (samples),Data Type
IDS-01,4654,91,Autoencoder,18.62,2424,18238,Access Logs
IDS-02,3001,39,GNN,18.7,3216,11610,Thermal Imaging
IDS-03,803,49,SVM,1.51,3844,8199,Access Logs
IDS-04,2751,19,1D-CNN,12.11,4002,15151,Access Logs
IDS-05,2087,50,1D-CNN,13.47,3788,18486,Video Frame Features
IDS-06,2447,91,Autoencoder,10.24,1506,18600,Face Embeddings
IDS-07,1755,88,GNN,18.14,344,17030,Thermal Imaging
IDS-08,4845,47,Autoencoder,17.18,553,7634,Video Frame Features
IDS-09,4485,90,Autoencoder,7.24,3904,19018,Face Embeddings
IDS-10,4501,65,Autoencoder,15.17,2608,10499,Face Embeddings
IDS-11,4254,35,Isolation Forest,5.97,1448,11834,Motion Sensor Logs
IDS-12,2668,98,1D-CNN,3.49,2194,9553,Face Embeddings
IDS-13,3753,22,Isolation Forest,19.6,3742,2005,Motion Sensor Logs
IDS-14,2167,18,CNN-LSTM,2.71,740,3292,Face Embeddings
IDS-15,2846,100,CNN-LSTM,13.45,2014,7186,Thermal Imaging
IDS-16,3240,83,Autoencoder,8.62,1786,2398,Video Frame Features
IDS-17,1329,76,Autoencoder,18.67,996,17061,Motion Sensor Logs
IDS-18,4870,34,1D-CNN,7.49,3534,10125,Motion Sensor Logs
IDS-19,3984,16,SVM,11.06,3219,15443,Motion Sensor Logs
IDS-20,2110,91,CNN-LSTM,1.49,1886,16595,Access Logs
